seed,customerName,schoolOfMagic,profession,request,trueGoal,constraint,request_ttr,dossier_chars,customer_latency_ms,customer_cost_usd,material_parse_ok,material_has_three_cores,material_has_three_woods,material_core_affinity_diverse,material_wood_personality_diverse,material_well_formed_set,material_latency_ms,material_cost_usd
Run 01 / silver-fern,Kallista Emberforge,Pyromancy,Blacksmith who uses fire magic to forge enchanted weapons,I need a wand that allows me to precisely control the temperature of my flames. Too low and the metal won't mold; too high and it becomes unusable.,To maintain a consistent and precise heat level for rapid smithing without compromising the integrity of the enchantments,"Her fire magic flares uncontrollably when she becomes frustrated, leading to uneven heating",0.893,416,4394,0.00409,True,True,True,False,True,False,5200,0.00488
Run 02 / amber-finch,Thalor Brightwood,Geomancy,Miner who uses earth magic to locate and excavate rare gemstones,"I need a wand that lets me sense the difference between common minerals and precious gemstones. Currently, I keep missing the mark during excavation.",To identify and extract rare gemstones with pinpoint accuracy under pressure of time and resource scarcity,"His magic sensitivity decreases the deeper he descends into the earth, exactly where the rarest treasures lie",0.917,428,2619,0.00404,True,True,True,True,True,True,3613,0.00392
Run 03 / glass-heron,Thornis Oakroot,Geomancy,Terramancer architect who designs intricate stone structures using earth magic,I need a wand that lets me carve intricate patterns without shattering the stone. My magic tends to over-penetrate when I focus too intently.,"To create detailed, refined stonework with high precision and elegance without inadvertently causing cracks","His earth magic becomes overly aggressive when he channels it through narrow points, making focused tasks delicate",0.96,440,2567,0.00408,True,True,True,True,True,True,4812,0.00534
Run 04 / iron-vine,Thalor Ironvine,Geomancy,Miner who uses earth magic to extract precious metals without upsetting ground stability,"I need a wand that allows me to extract ore with finer precision. Sometimes, larger rock sections break loose, which could lead to a collapse.","To excavate efficiently while maintaining ground integrity, maximizing yield without triggering collapses","His earth magic becomes too forceful when he rushes, precisely when he needs steady control for deeper layers",0.92,444,2566,0.00408,False,,,,,,,
Run 05 / coral-moth,Thalaris Glintstone,Geomancy,Cartographer who uses geomancy to create detailed and living maps of treacherous terrains,I need a wand that can stabilize the terrain elements within my maps for longer periods. They tend to reconfigure themselves before I finish my mappings.,"To chart intricate, ever-shifting landscapes with high precision and consistent accuracy without the elements altering mid-process","His geomancy loses consistency and definition the longer he focuses on a single area, causing premature shifts in the terrain elements",0.923,506,2409,0.00421,True,True,True,True,True,True,4766,0.00502
Run 06 / hollow-spruce,Thalina Emberglade,Pyromancy,Wildfire tamer who uses fire magic to control and extinguish dangerous forest fires,I need a wand that lets me direct the heat precisely away from threatened wildlife. My current one makes it too hard to redirect in time.,To swiftly steer intense heat away from endangered animals while controlling the blaze's spread all at once,"Her fire magic tends to flare up unpredictably under pressure, especially during critical rescue moments",1.0,431,2441,0.00412,False,,,,,,,
Run 07 / quartz-stoat,Thallax Emberforge,Pyromancy,Blacksmith who utilizes fire magic to forge and repair enchanted weapons,I need a wand that can sustain my flames at a consistent heat. My work fluctuates when the temperature spikes unexpectedly in the forge.,To maintain an unwavering high heat intensity over prolonged periods without the risk of damaging the metal,His fire magic temperature surges erratically when he becomes too absorbed in his craft,0.875,402,2234,0.00403,True,True,True,True,True,True,4066,0.00474
Run 08 / saffron-koi,Thorn Eldergrove,Geomancy,Surveyor who uses geomantic magic to analyze and manipulate terrain,I need a wand that helps me keep my earth spells steady when I'm working on uneven terrain. My adjustments falter when the ground shifts beneath me.,To precisely reconfigure landscape features on unstable ground quickly without losing control of the earthen elements,"His earth magic becomes erratic when there's a subtle, unpredictable movement in the terrain - the very conditions he works in most often",0.889,469,2681,0.00414,True,True,True,True,True,True,4746,0.00482
Run 09 / dusk-wren,Flint Cinderspark,Pyromancy,Lighthouse keeper who guides ships safely through storms with controlled fire beacons,"I need a wand that can modulate my fire intensity based on weather conditions. The flames become erratic in high winds, risking visibility loss.","To maintain a steady, visible beacon in volatile weather conditions without the flames going out or getting out of control","His pyromancy becomes unstable in fluctuating atmospheric pressure, which is common during severe storm conditions",1.0,465,2707,0.00417,True,True,True,True,True,True,4680,0.00519
Run 10 / opal-mantis,Thalor Emberflame,Pyromancy,Glassblower who uses fire magic to shape intricate glass sculptures,I need a wand that can keep my flames steady and equal across multiple points. I struggle with maintaining even heat during detailed work.,"To work with incredible precision under consistently high temperatures, shaping perfect glass forms without temperature fluctuations disrupting the process","His fire magic fluctuates wildly when his focus wavers, often during meticulous stages of his work",0.958,458,2610,0.00409,True,True,True,False,True,False,4681,0.00535
Run 11 / cinder-thistle,Bram Thornveil,Pyromancy,Blacksmith who uses flame magic to forge and temper metal,"I need a wand that can modulate the heat of my flames better. Sometimes, I end up melting the metal instead of shaping it.",To temper and forge precise metalworks quickly without melting or damaging the pieces,His flames become erratically hotter when he feels pressure to finish quickly or doubts his craftsmanship,0.875,369,2134,0.004,True,True,True,True,True,True,5048,0.00483
Run 12 / brass-vesper,Thalios Emberhart,Pyromancy,Fire-forging artisan who uses flames to craft intricate weapons,I need a wand that helps me manage the temperature of my flames. The heat sometimes spikes unexpectedly while I'm fine-tuning details.,To achieve perfect temperature control for prolonged periods while crafting delicate components without overheating them,His fire magic becomes erratic when he feels the pressure to complete a masterpiece quickly,0.957,408,2423,0.00404,True,True,True,True,True,True,5062,0.00491
Run 13 / agate-lynx,Thaldrin Embern,Pyromancy,Glassblower who uses fire magic to shape intricate glassworks,I need a wand that can maintain a consistent flame temperature. Any fluctuation ruins the glass's integrity.,To create detailed glass sculptures quickly and with pinpoint precision without compromising their structural stability,"His fire magic varies in intensity according to his emotional state, particularly when aiming for difficult designs",0.941,403,3253,0.00399,True,True,True,True,True,True,4899,0.00388
Run 14 / linen-finch,Kaelen Whispertide,Chronomancy,Time weaver who manipulates time streams to avoid disasters,I need a wand that prevents sudden time anomalies. My manipulations sometimes cause unexpected time jumps.,"To achieve precise, real-time adjustments without triggering cascading time distortions","His time magic becomes unstable under rapid temporal adjustments, causing unintended fluctuations",0.938,349,2532,0.0039,True,True,True,True,True,True,4392,0.00464
Run 15 / lichen-dove,Thalina Galehart,Geomancy,Architect-mage who shapes landscapes and structures using earth magic,I need a wand that can maintain my terraforming spells' stability during rough weather. The structures tend to warp when the winds pick up.,"To sculpt large-scale architectural projects swiftly without structural weaknesses, even during adverse weather conditions","Her earth magic warps more intensely under external environmental stress, requiring extra focus when conditions worsen",0.958,448,2498,0.00402,True,True,True,True,True,True,4136,0.00478
Run 16 / pewter-grove,Kaelan Grimthorne,Pyromancy,Fire dancer who uses pyromancy to evoke emotions and tell stories through flame,I need a wand that helps me control the size of the flames during performances. They sometimes flare up too much and frighten the audience.,"To create captivating and emotional performances with seamlessly controlled flame size and intensity, keeping the audience entranced without fearing for their safety","His fire magic intensifies with bursts of adrenaline, which often happens at dramatic points in his act",0.92,486,2864,0.00416,True,True,True,True,True,True,5149,0.00488
Run 17 / juniper-fox,Thalindra Faelan,Pyromancy,Forge master who infuses weapons with controlled fire enchantments,I need a wand that can help contain the heat precisely to the point of contact. My enchantments end up warping the metal if they're too widespread.,"To infuse weapons with precise, controlled fire enchantments without compromising their structural integrity","His pyromancy intensifies unpredictably when his frustration peaks, exactly when careful control is needed",0.926,427,3149,0.00409,True,True,True,True,True,True,3774,0.00456
Run 18 / cobalt-stag,Malok Thornmantle,Geomancy,Architect who uses earth magic to form and shape structures from raw materials,I need a wand that stabilizes my creations while I add intricate details. My structures tend to collapse when I'm working on the final touches.,"To construct grand, intricate architectural designs rapidly without compromising structural integrity","His earth magic becomes less stable the longer he maintains focus on minor details, risking the collapse of his larger constructs",0.92,451,2343,0.00404,True,True,True,True,True,True,4839,0.005
